index,a,b,c,d,e
3274,lambast,lambasts,lambasted,lambasted,lambasting
3275,lambaste,lambastes,lambasted,lambasted,lambasting
3276,lame,lames,lamed,lamed,laming
3277,lament,laments,lamented,lamented,lamenting
3278,lamp,lamps,lamped,lamped,lamping
3279,lampoon,lampoons,lampooned,lampooned,lampooning
3280,lance,lances,lanced,lanced,lancing
3281,land,lands,landed,landed,landing
3282,landscape,landscapes,landscaped,landscaped,landscaping
3283,languish,languishes,languished,languished,languishing
3284,lap,laps,lapped,lapped,lapping
3285,lapse,lapses,lapsed,lapsed,lapsing
3286,lard,lards,larded,larded,larding
3287,large,larges,larged,larged,larging
3288,lark,larks,larked,larked,larking
3289,lash,lashes,lashed,lashed,lashing
3290,lasso,lassoes,lassoed,lassoed,lassoing
3291,last,lasts,lasted,lasted,lasting
3292,latch,latches,latched,latched,latching
3293,lather,lathers,lathered,lathered,lathering
3294,laud,lauds,lauded,lauded,lauding
3295,laugh,laughs,laughed,laughed,laughing
3296,launch,launches,launched,launched,launching
3297,launder,launders,laundered,laundered,laundering
3298,lavish,lavishes,lavished,lavished,lavishing
3299,lay,lays,laid,laid,laying
3300,layer,layers,layered,layered,layering
3301,laze,lazes,lazed,lazed,lazing
3302,leach,leaches,leached,leached,leaching
3303,lead,leads,led,led,leading
3304,leaf,leafs,leafed,leafed,leafing
3305,leaflet,leaflets,leafleted,leafleted,leafleting
3306,leak,leaks,leaked,leaked,leaking
3307,lean,leans,leaned,leaned,leaning
3308,lean,leans,leant,leant,leaning
3309,leap,leaps,leapt,leapt,leaping
3310,leap,leaps,leaped,leaped,leaping
3311,leapfrog,leapfrogs,leapfrogged,leapfrogged,leapfrogging
3312,learn,learns,learned,learned,learning
3313,learn,learns,learnt,learnt,learning
3314,lease,leases,leased,leased,leasing
3315,leash,leashes,leashed,leashed,leashing
3316,leave,leaves,left,left,leaving
3317,leaven,leavens,leavened,leavened,leavening
3318,lech,leches,leched,leched,leching
3319,lecture,lectures,lectured,lectured,lecturing
3320,leer,leers,leered,leered,leering
3321,leg,legs,legged,legged,legging
3322,legalise,legalises,legalised,legalised,legalising
3323,legalise,legalises,legalised,legalized,legalising
3324,legalize,legalizes,legalized,legalized,legalizing
3325,legislate,legislates,legislated,legislated,legislating
3326,legitimate,legitimates,legitimated,legitimated,legitimating
3327,legitimise,legitimises,legitimised,legitimised,legitimising
3328,legitimize,legitimizes,legitimized,legitimized,legitimizing
3329,lend,lends,lent,lent,lending
3330,lengthen,lengthens,lengthened,lengthened,lengthening
3331,leopard-crawl,leopard-crawls,leopard-crawled,leopard-crawled,leopard-crawling
3332,leopardcrawl,leopardcrawls,leopardcrawled,leopardcrawled,leopardcrawling
3333,lessen,lessens,lessened,lessened,lessening
3334,let,lets,let,let,letting
3335,letch,letches,letched,letched,letching
3336,letter,letters,lettered,lettered,lettering
3337,letterbox,letterboxes,letterboxed,letterboxed,letterboxing
3338,level,levels,levelled,levelled,levelling
3339,lever,levers,levered,levered,levering
3340,leverage,leverages,leveraged,leveraged,leveraging
3341,levitate,levitates,levitated,levitated,levitating
3342,levy,levies,levied,levied,levying
3343,liaise,liaises,liaised,liaised,liaising
3344,libel,libels,libelled,libelled,libelling
3345,liberalise,liberalises,liberalised,liberalised,liberalising
3346,liberalize,liberalizes,liberalized,liberalized,liberalizing
3347,liberate,liberates,liberated,liberated,liberating
3348,license,licenses,licensed,licensed,licensing
3349,lick,licks,licked,licked,licking
3350,lie,lies,lay,lain,lying
3351,lie,lies,lied,lied,lying
3352,lift,lifts,lifted,lifted,lifting
3353,ligate,ligates,ligated,ligated,ligating
3354,light,lights,lighted,lighted,lighting
3355,light,lights,lit,lit,lighting
3356,lighten,lightens,lightened,lightened,lightening
3357,like,likes,liked,liked,liking
3358,liken,likens,likened,likened,likening
3359,limber,limbers,limbered,limbered,limbering
3360,lime,limes,limed,limed,liming
3361,limit,limits,limited,limited,limiting
3362,limp,limps,limped,limped,limping
3363,line,lines,lined,lined,lining
3364,linger,lingers,lingered,lingered,lingering
3365,link,links,linked,linked,linking
3366,lionise,lionises,lionised,lionised,lionising
3367,lionize,lionizes,lionized,lionized,lionizing
3368,lip-read,lip-reads,lip-read,lip-read,lip-reading
3369,lip-sync,lip-syncs,lip-synced,lip-synced,lip-syncing
3370,lip-synch,lip-synchs,lip-synched,lip-synched,lip-synching
3371,lipread,lipreads,lipread,lipread,lipreading
3372,lipsync,lipsyncs,lipsynced,lipsynced,lipsyncing
3373,lipsynch,lipsynchs,lipsynched,lipsynched,lipsynching
3374,liquefy,liquefies,liquefied,liquefied,liquefying
3375,liquidate,liquidates,liquidated,liquidated,liquidating
3376,liquidise,liquidises,liquidised,liquidised,liquidising
3377,liquidize,liquidizes,liquidized,liquidized,liquidizing
3378,lisp,lisps,lisped,lisped,lisping
3379,list,lists,listed,listed,listing
3380,listen,listens,listened,listened,listening
3381,litigate,litigates,litigated,litigated,litigating
3382,litter,litters,littered,littered,littering
3383,live,lives,lived,lived,living
3384,live-blog,live-blogs,live-blogged,live-blogged,live-blogging
3385,live-stream,live-streams,live-streamed,live-streamed,live-streaming
3386,liveblog,liveblogs,liveblogged,liveblogged,liveblogging
3387,liven,livens,livened,livened,livening
3388,livestream,livestreams,livestreamed,livestreamed,livestreaming
3389,load,loads,loaded,loaded,loading
3390,loaf,loafs,loafed,loafed,loafing
3391,loan,loans,loaned,loaned,loaning
3392,loathe,loathes,loathed,loathed,loathing
3393,lob,lobs,lobbed,lobbed,lobbing
3394,lobby,lobbies,lobbied,lobbied,lobbying
3395,lobotomise,lobotomises,lobotomised,lobotomised,lobotomising
3396,lobotomize,lobotomizes,lobotomized,lobotomized,lobotomizing
3397,localise,localises,localised,localised,localising
3398,localize,localizes,localized,localized,localizing
3399,locate,locates,located,located,locating
3400,lock,locks,locked,locked,locking
3401,lodge,lodges,lodged,lodged,lodging
3402,loft,lofts,lofted,lofted,lofting
3403,log,logs,logged,logged,logging
3404,loiter,loiters,loitered,loitered,loitering
3405,loll,lolls,lolled,lolled,lolling
3406,lollop,lollops,lolloped,lolloped,lolloping
3407,long,longs,longed,longed,longing
3408,look,looks,looked,looked,looking
3409,loom,looms,loomed,loomed,looming
3410,loop,loops,looped,looped,looping
3411,loose,looses,loosed,loosed,loosing
3412,loosen,loosens,loosened,loosened,loosening
3413,loot,loots,looted,looted,looting
3414,lop,lops,lopped,lopped,lopping
3415,lope,lopes,loped,loped,loping
3416,lord,lords,lorded,lorded,lording
3417,lose,loses,lost,lost,losing
3418,lounge,lounges,lounged,lounged,lounging
3419,lour,lours,loured,loured,louring
3420,louse,louses,loused,loused,lousing
3421,love,loves,loved,loved,loving
3422,low,lows,lowed,lowed,lowing
3423,lowball,lowballs,lowballed,lowballed,lowballing
3424,lower,lowers,lowered,lowered,lowering
3425,lubricate,lubricates,lubricated,lubricated,lubricating
3426,luck,lucks,lucked,lucked,lucking
3427,lug,lugs,lugged,lugged,lugging
3428,lull,lulls,lulled,lulled,lulling
3429,lumber,lumbers,lumbered,lumbered,lumbering
3430,lump,lumps,lumped,lumped,lumping
3431,lunch,lunches,lunched,lunched,lunching
3432,lunge,lunges,lunged,lunged,lungeing
3433,lurch,lurches,lurched,lurched,lurching
3434,lure,lures,lured,lured,luring
3435,lurk,lurks,lurked,lurked,lurking
3436,lust,lusts,lusted,lusted,lusting
3437,luxuriate,luxuriates,luxuriated,luxuriated,luxuriating
3438,lynch,lynches,lynched,lynched,lynching
3439,macerate,macerates,macerated,macerated,macerating
3440,machine,machines,machined,machined,machining
3441,machine-gun,machine-guns,machine-gunned,machine-gunned,machine-gunning
3442,machinegun,machineguns,machinegunned,machinegunned,machinegunning
3443,madden,maddens,maddened,maddened,maddening
3444,magic,magics,magicked,magicked,magicking
3445,magnetise,magnetises,magnetised,magnetised,magnetising
3446,magnetize,magnetizes,magnetized,magnetized,magnetizing
3447,magnify,magnifies,magnified,magnified,magnifying
3448,mail,mails,mailed,mailed,mailing
3449,mail bomb,mail bombs,mail bombed,mail bombed,mail bombing
3450,maim,maims,maimed,maimed,maiming
3451,mainline,mainlines,mainlined,mainlined,mainlining
3452,mainstream,mainstreams,mainstreamed,mainstreamed,mainstreaming
3453,maintain,maintains,maintained,maintained,maintaining
3454,major,majors,majored,majored,majoring
3455,make,makes,made,made,making
3456,malfunction,malfunctions,malfunctioned,malfunctioned,malfunctioning
3457,malign,maligns,maligned,maligned,maligning
3458,malinger,malingers,malingered,malingered,malingering
3459,maltreat,maltreats,maltreated,maltreated,maltreating
3460,man,mans,manned,manned,manning
3461,manacle,manacles,manacled,manacled,manacling
3462,manage,manages,managed,managed,managing
3463,mandate,mandates,mandated,mandated,mandating
3464,maneuver,maneuvers,maneuvered,maneuvered,maneuvering
3465,mangle,mangles,mangled,mangled,mangling
3466,manhandle,manhandles,manhandled,manhandled,manhandling
3467,manicure,manicures,manicured,manicured,manicuring
3468,manifest,manifests,manifested,manifested,manifesting
3469,manipulate,manipulates,manipulated,manipulated,manipulating
3470,manoeuvre,manoeuvres,manoeuvred,manoeuvred,manoeuvring
3471,mantle,mantles,mantled,mantled,mantling
3472,manufacture,manufactures,manufactured,manufactured,manufacturing
3473,manure,manures,manured,manured,manuring
3474,map,maps,mapped,mapped,mapping
3475,mar,mars,marred,marred,marring
3476,march,marches,marched,marched,marching
3477,marginalise,marginalises,marginalised,marginalised,marginalising
3478,marginalize,marginalizes,marginalized,marginalized,marginalizing
3479,marinate,marinates,marinated,marinated,marinating
3480,mark,marks,marked,marked,marking
3481,market,markets,marketed,marketed,marketing
3482,maroon,maroons,marooned,marooned,marooning
3483,marry,marries,married,married,marrying
3484,marshal,marshals,marshalled,marshalled,marshalling
3485,martyr,martyrs,martyred,martyred,martyring
3486,marvel,marvels,marvelled,marvelled,marvelling
3487,masculinise,masculinises,masculinised,masculinised,masculinising
3488,masculinize,masculinizes,masculinized,masculinized,masculinizing
3489,mash,mashes,mashed,mashed,mashing
3490,mask,masks,masked,masked,masking
3491,masquerade,masquerades,masqueraded,masqueraded,masquerading
3492,mass,masses,massed,massed,massing
3493,mass-produce,mass-produces,mass-produced,mass-produced,mass-producing
3494,massacre,massacres,massacred,massacred,massacring
3495,massage,massages,massaged,massaged,massaging
3496,massproduce,massproduces,massproduced,massproduced,massproducing
3497,master,masters,mastered,mastered,mastering
3498,mastermind,masterminds,masterminded,masterminded,masterminding
3499,masticate,masticates,masticated,masticated,masticating
3500,masturbate,masturbates,masturbated,masturbated,masturbating
3501,match,matches,matched,matched,matching
3502,mate,mates,mated,mated,mating
3503,materialise,materialises,materialised,materialised,materialising
3504,materialize,materializes,materialized,materialized,materializing
3505,matriculate,matriculates,matriculated,matriculated,matriculating
3506,matter,matters,mattered,mattered,mattering
3507,mature,matures,matured,matured,maturing
3508,maul,mauls,mauled,mauled,mauling
3509,maunder,maunders,maundered,maundered,maundering
3510,max,maxes,maxed,maxed,maxing
3511,maximise,maximises,maximised,maximised,maximising
3512,maximize,maximizes,maximized,maximized,maximizing
3513,mean,means,meant,meant,meaning
3514,meander,meanders,meandered,meandered,meandering
3515,means-test,means-tests,means-tested,means-tested,means-testing
3516,meanstest,meanstests,meanstested,meanstested,meanstesting
3517,measure,measures,measured,measured,measuring
3518,mechanise,mechanises,mechanised,mechanised,mechanising
3519,mechanize,mechanizes,mechanized,mechanized,mechanizing
3520,medal,medals,medalled,medalled,medalling
3521,meddle,meddles,meddled,meddled,meddling
3522,mediate,mediates,mediated,mediated,mediating
3523,medicate,medicates,medicated,medicated,medicating
3524,meditate,meditates,meditated,meditated,meditating
3525,meet,meets,met,met,meeting
3526,meld,melds,melded,melded,melding
3527,mellow,mellows,mellowed,mellowed,mellowing
3528,melt,melts,melted,melted,melting
3529,melt,melts,melted,molten,melting
3530,memorialise,memorialises,memorialised,memorialised,memorialising
3531,memorialize,memorializes,memorialized,memorialized,memorializing
3532,memorise,memorises,memorised,memorised,memorising
3533,memorize,memorizes,memorized,memorized,memorizing
3534,menace,menaces,menaced,menaced,menacing
3535,mend,mends,mended,mended,mending
3536,menstruate,menstruates,menstruated,menstruated,menstruating
3537,mention,mentions,mentioned,mentioned,mentioning
3538,meow,meows,meowed,meowed,meowing
3539,mercerise,mercerises,mercerised,mercerised,mercerising
3540,mercerize,mercerizes,mercerized,mercerized,mercerizing
3541,merchandise,merchandises,merchandised,merchandised,merchandising
3542,merge,merges,merged,merged,merging
3543,merit,merits,merited,merited,meriting
3544,mesh,meshes,meshed,meshed,meshing
3545,mesmerise,mesmerises,mesmerised,mesmerised,mesmerising
3546,mesmerize,mesmerizes,mesmerized,mesmerized,mesmerizing
3547,mess,messes,messed,messed,messing
3548,message,messages,messaged,messaged,messaging
3549,messenger,messengers,messengered,messengered,messengering
3550,metabolise,metabolises,metabolised,metabolised,metabolising
3551,metabolize,metabolizes,metabolized,metabolized,metabolizing
3552,metamorphose,metamorphoses,metamorphosed,metamorphosed,metamorphosing
3553,mete,metes,meted,meted,meting
3554,meter,meters,metered,metered,metering
3555,mew,mews,mewed,mewed,mewing
3556,mewl,mewls,mewled,mewled,mewling
3557,miaow,miaows,miaowed,miaowed,miaowing
3558,microblog,microblogs,microblogged,microblogged,microblogging
3559,microchip,microchips,microchipped,microchipped,microchipping
3560,micromanage,micromanages,micromanaged,micromanaged,micromanaging
3561,microwave,microwaves,microwaved,microwaved,microwaving
3562,micturate,micturates,micturated,micturated,micturating
3563,migrate,migrates,migrated,migrated,migrating
3564,mike,mikes,miked,miked,miking
3565,militarise,militarises,militarised,militarised,militarising
3566,militarize,militarizes,militarized,militarized,militarizing
3567,militate,militates,militated,militated,militating
3568,milk,milks,milked,milked,milking
3569,mill,mills,milled,milled,milling
3570,mime,mimes,mimed,mimed,miming
3571,mimic,mimics,mimicked,mimicked,mimicking
3572,mince,minces,minced,minced,mincing
3573,mind,minds,minded,minded,minding
3574,mine,mines,mined,mined,mining
3575,mingle,mingles,mingled,mingled,mingling
3576,miniaturise,miniaturises,miniaturised,miniaturised,miniaturising
3577,miniaturize,miniaturizes,miniaturized,miniaturized,miniaturizing
3578,minimise,minimises,minimised,minimised,minimising
3579,minimize,minimizes,minimized,minimized,minimizing
3580,minister,ministers,ministered,ministered,ministering
3581,minor,minors,minored,minored,minoring
3582,mint,mints,minted,minted,minting
3583,minute,minutes,minuted,minuted,minuting
3584,mirror,mirrors,mirrored,mirrored,mirroring
3585,mis-sell,mis-sells,mis-sold,mis-sold,mis-selling
3586,misapply,misapplies,misapplied,misapplied,misapplying
3587,misappropriate,misappropriates,misappropriated,misappropriated,misappropriating
3588,misbehave,misbehaves,misbehaved,misbehaved,misbehaving
3589,miscalculate,miscalculates,miscalculated,miscalculated,miscalculating
3590,miscarry,miscarries,miscarried,miscarried,miscarrying
3591,miscast,miscasts,miscast,miscast,miscasting
3592,misconceive,misconceives,misconceived,misconceived,misconceiving
3593,misconstrue,misconstrues,misconstrued,misconstrued,misconstruing
3594,miscount,miscounts,miscounted,miscounted,miscounting
3595,misdiagnose,misdiagnoses,misdiagnosed,misdiagnosed,misdiagnosing
3596,misdial,misdials,misdialled,misdialled,misdialling
3597,misdirect,misdirects,misdirected,misdirected,misdirecting
3598,misfield,misfields,misfielded,misfielded,misfielding
3599,misfile,misfiles,misfiled,misfiled,misfiling
3600,misfire,misfires,misfired,misfired,misfiring
3601,misgovern,misgoverns,misgoverned,misgoverned,misgoverning
3602,mishandle,mishandles,mishandled,mishandled,mishandling
3603,mishear,mishears,misheard,misheard,mishearing
3604,mishit,mishits,mishit,mishit,mishitting
3605,misinform,misinforms,misinformed,misinformed,misinforming
3606,misinterpret,misinterprets,misinterpreted,misinterpreted,misinterpreting
3607,misjudge,misjudges,misjudged,misjudged,misjudging
3608,miskey,miskeys,miskeyed,miskeyed,miskeying
3609,mislay,mislays,mislaid,mislaid,mislaying
3610,mislead,misleads,misled,misled,misleading
3611,mismanage,mismanages,mismanaged,mismanaged,mismanaging
3612,mismatch,mismatches,mismatched,mismatched,mismatching
3613,misname,misnames,misnamed,misnamed,misnaming
3614,misplace,misplaces,misplaced,misplaced,misplacing
3615,misplay,misplays,misplayed,misplayed,misplaying
3616,mispronounce,mispronounces,mispronounced,mispronounced,mispronouncing
3617,misquote,misquotes,misquoted,misquoted,misquoting
3618,misread,misreads,misread,misread,misreading
3619,misremember,misremembers,misremembered,misremembered,misremembering
3620,misreport,misreports,misreported,misreported,misreporting
3621,misrepresent,misrepresents,misrepresented,misrepresented,misrepresenting
3622,miss,misses,missed,missed,missing
3623,missell,missells,missold,missold,misselling
3624,mission,missions,missioned,missioned,missioning
3625,misspeak,misspeaks,misspoke,misspoken,misspeaking
3626,misspell,misspells,misspelled,misspelled,misspelling
3627,Spell,Spells,Spelled,Spelled ,Spelling
3628,Spell,Spells,Spelt,Spelt ,Spelling
3629,misspell,misspells,misspelt,misspelt,misspelling
3630,misspend,misspends,misspent,misspent,misspending
3631,mist,mists,misted,misted,misting
3632,mistake,mistakes,mistook,mistaken,mistaking
3633,mistime,mistimes,mistimed,mistimed,mistiming
3634,mistreat,mistreats,mistreated,mistreated,mistreating
3635,mistrust,mistrusts,mistrusted,mistrusted,mistrusting
3636,misunderstand,misunderstands,misunderstood,misunderstood,misunderstanding
3637,misuse,misuses,misused,misused,misusing
3638,miswed,misweds,miswed,miswed,miswedding
3639,miswed,misweds,miswedded,miswedded,miswedding
3640,mitigate,mitigates,mitigated,mitigated,mitigating
3641,mitre,mitres,mitred,mitred,mitring
3642,mix,mixes,mixed,mixed,mixing
3643,moan,moans,moaned,moaned,moaning
3644,mob,mobs,mobbed,mobbed,mobbing
3645,mobilise,mobilises,mobilised,mobilised,mobilising
3646,mobilize,mobilizes,mobilized,mobilized,mobilizing
3647,mock,mocks,mocked,mocked,mocking
3648,mod,mods,modded,modded,modding
3649,model,models,modelled,modelled,modelling
3650,moderate,moderates,moderated,moderated,moderating
3651,modernise,modernises,modernised,modernised,modernising
3652,modernize,modernizes,modernized,modernized,modernizing
3653,modify,modifies,modified,modified,modifying
3654,modulate,modulates,modulated,modulated,modulating
3655,moisten,moistens,moistened,moistened,moistening
3656,moisturise,moisturises,moisturised,moisturised,moisturising
3657,moisturize,moisturizes,moisturized,moisturized,moisturizing
3658,mold,molds,molded,molded,molding
3659,molder,molders,moldered,moldered,moldering
3660,molest,molests,molested,molested,molesting
3661,mollify,mollifies,mollified,mollified,mollifying
3662,mollycoddle,mollycoddles,mollycoddled,mollycoddled,mollycoddling
3663,molt,molts,molted,molted,molting
3664,monetise,monetises,monetised,monetised,monetising
3665,monetize,monetizes,monetized,monetized,monetizing
3666,monitor,monitors,monitored,monitored,monitoring
3667,monkey,monkeys,monkeyed,monkeyed,monkeying
3668,monopolise,monopolises,monopolised,monopolised,monopolising
3669,monopolize,monopolizes,monopolized,monopolized,monopolizing
3670,moo,moos,mooed,mooed,mooing
3671,mooch,mooches,mooched,mooched,mooching
3672,moon,moons,mooned,mooned,mooning
3673,moonlight,moonlights,moonlighted,moonlighted,moonlighting
3674,moonwalk,moonwalks,moonwalked,moonwalked,moonwalking
3675,moor,moors,moored,moored,mooring
3676,moot,moots,mooted,mooted,mooting
3677,mop,mops,mopped,mopped,mopping
3678,mope,mopes,moped,moped,moping
3679,moralise,moralises,moralised,moralised,moralising
3680,moralize,moralizes,moralized,moralized,moralizing
3681,morph,morphs,morphed,morphed,morphing
3682,mortar,mortars,mortared,mortared,mortaring
3683,mortgage,mortgages,mortgaged,mortgaged,mortgaging
3684,mortify,mortifies,mortified,mortified,mortifying
3685,mosey,moseys,moseyed,moseyed,moseying
3686,mosh,moshes,moshed,moshed,moshing
3687,mothball,mothballs,mothballed,mothballed,mothballing
3688,mother,mothers,mothered,mothered,mothering
3689,motion,motions,motioned,motioned,motioning
3690,motivate,motivates,motivated,motivated,motivating
3691,motor,motors,motored,motored,motoring
3692,mould,moulds,moulded,moulded,moulding
3693,moulder,moulders,mouldered,mouldered,mouldering
3694,moult,moults,moulted,moulted,moulting
3695,mount,mounts,mounted,mounted,mounting
3696,mourn,mourns,mourned,mourned,mourning
3697,mouse,mouses,moused,moused,mousing
3698,mouth,mouths,mouthed,mouthed,mouthing
3699,move,moves,moved,moved,moving
3700,mow,mows,mowed,mown,mowing
3701,mow,mows,mowed,mowed,mowing
3702,muck,mucks,mucked,mucked,mucking
3703,muddle,muddles,muddled,muddled,muddling
3704,muddy,muddies,muddied,muddied,muddying
3705,muff,muffs,muffed,muffed,muffing
3706,muffle,muffles,muffled,muffled,muffling
3707,mug,mugs,mugged,mugged,mugging
3708,mulch,mulches,mulched,mulched,mulching
3709,mull,mulls,mulled,mulled,mulling
3710,multicast,multicasts,multicast,multicast,multicasting
3711,multiply,multiplies,multiplied,multiplied,multiplying
3712,multitask,multitasks,multitasked,multitasked,multitasking
3713,mumble,mumbles,mumbled,mumbled,mumbling
3714,mummify,mummifies,mummified,mummified,mummifying
3715,munch,munches,munched,munched,munching
3716,murder,murders,murdered,murdered,murdering
3717,murmur,murmurs,murmured,murmured,murmuring
3718,muscle,muscles,muscled,muscled,muscling
3719,muse,muses,mused,mused,musing
3720,mushroom,mushrooms,mushroomed,mushroomed,mushrooming
3721,muss,musses,mussed,mussed,mussing
3722,muster,musters,mustered,mustered,mustering
3723,mutate,mutates,mutated,mutated,mutating
3724,mute,mutes,muted,muted,muting
3725,mutilate,mutilates,mutilated,mutilated,mutilating
3726,mutiny,mutinies,mutinied,mutinied,mutinying
3727,mutter,mutters,muttered,muttered,muttering
3728,muzzle,muzzles,muzzled,muzzled,muzzling
3729,mystify,mystifies,mystified,mystified,mystifying
3730,nab,nabs,nabbed,nabbed,nabbing
3731,nag,nags,nagged,nagged,nagging
3732,nail,nails,nailed,nailed,nailing
3733,name,names,named,named,naming
3734,name-check,name-checks,name-checked,name-checked,name-checking
3735,name-drop,name-drops,name-dropped,name-dropped,name-dropping
3736,namecheck,namechecks,namechecked,namechecked,namechecking
3737,namedrop,namedrops,namedropped,namedropped,namedropping
3738,nap,naps,napped,napped,napping
3739,narrate,narrates,narrated,narrated,narrating
3740,narrow,narrows,narrowed,narrowed,narrowing
3741,narrowcast,narrowcasts,narrowcast,narrowcast,narrowcasting
3742,nasalise,nasalises,nasalised,nasalised,nasalising
3743,nasalize,nasalizes,nasalized,nasalized,nasalizing
3744,nationalise,nationalises,nationalised,nationalised,nationalising
3745,nationalize,nationalizes,nationalized,nationalized,nationalizing
3746,natter,natters,nattered,nattered,nattering
3747,naturalise,naturalises,naturalised,naturalised,naturalising
3748,naturalize,naturalizes,naturalized,naturalized,naturalizing
3749,nauseate,nauseates,nauseated,nauseated,nauseating
3750,navigate,navigates,navigated,navigated,navigating
3751,near,nears,neared,neared,nearing
3752,neaten,neatens,neatened,neatened,neatening
3753,necessitate,necessitates,necessitated,necessitated,necessitating
3754,neck,necks,necked,necked,necking
3755,necklace,necklaces,necklaced,necklaced,necklacing
3756,need,needs,needed,needed,needing
3757,needle,needles,needled,needled,needling
3758,negate,negates,negated,negated,negating
3759,negative,negatives,negatived,negatived,negativing
3760,neglect,neglects,neglected,neglected,neglecting
3761,negotiate,negotiates,negotiated,negotiated,negotiating
3762,neigh,neighs,neighed,neighed,neighing
3763,neighbour,neighbours,neighboured,neighboured,neighbouring
3764,nerve,nerves,nerved,nerved,nerving
3765,nest,nests,nested,nested,nesting
3766,nestle,nestles,nestled,nestled,nestling
3767,net,nets,netted,netted,netting
3768,nettle,nettles,nettled,nettled,nettling
3769,network,networks,networked,networked,networking
3770,neuter,neuters,neutered,neutered,neutering
3771,neutralise,neutralises,neutralised,neutralised,neutralising
3772,neutralize,neutralizes,neutralized,neutralized,neutralizing
3773,nibble,nibbles,nibbled,nibbled,nibbling
3774,nick,nicks,nicked,nicked,nicking
3775,nickel-and-dime,nickel-and-dimes,nickel-and-dimed,nickel-and-dimed,nickel-and-diming
3776,nickeland-dime,nickeland-dimes,nickeland-dimed,nickeland-dimed,nickeland-diming
3777,nickname,nicknames,nicknamed,nicknamed,nicknaming
3778,niggle,niggles,niggled,niggled,niggling
3779,nip,nips,nipped,nipped,nipping
3780,nitrify,nitrifies,nitrified,nitrified,nitrifying
3781,nix,nixes,nixed,nixed,nixing
3782,nobble,nobbles,nobbled,nobbled,nobbling
3783,nod,nods,nodded,nodded,nodding
3784,noise,noises,noised,noised,noising
3785,nominalise,nominalises,nominalised,nominalised,nominalising
3786,nominalize,nominalizes,nominalized,nominalized,nominalizing
3787,nominate,nominates,nominated,nominated,nominating
3788,norm,norms,normed,normed,norming
3789,normalise,normalises,normalised,normalised,normalising
3790,normalize,normalizes,normalized,normalized,normalizing
3791,nose,noses,nosed,nosed,nosing
3792,nosedive,nosedives,nosedived,nosedived,nosediving
3793,nosh,noshes,noshed,noshed,noshing
3794,notarise,notarises,notarised,notarised,notarising
3795,notarize,notarizes,notarized,notarized,notarizing
3796,notch,notches,notched,notched,notching
3797,note,notes,noted,noted,noting
3798,notice,notices,noticed,noticed,noticing
3799,notify,notifies,notified,notified,notifying
3800,nourish,nourishes,nourished,nourished,nourishing
3801,nudge,nudges,nudged,nudged,nudging
3802,nuke,nukes,nuked,nuked,nuking
3803,nullify,nullifies,nullified,nullified,nullifying
3804,numb,numbs,numbed,numbed,numbing
3805,number,numbers,numbered,numbered,numbering
3806,nurse,nurses,nursed,nursed,nursing
3807,nurture,nurtures,nurtured,nurtured,nurturing
3808,nut,nuts,nutted,nutted,nutting
3809,nuzzle,nuzzles,nuzzled,nuzzled,nuzzling
3810,obey,obeys,obeyed,obeyed,obeying
3811,obfuscate,obfuscates,obfuscated,obfuscated,obfuscating
3812,object,objects,objected,objected,objecting
3813,objectify,objectifies,objectified,objectified,objectifying
3814,obligate,obligates,obligated,obligated,obligating
3815,oblige,obliges,obliged,obliged,obliging
3816,obliterate,obliterates,obliterated,obliterated,obliterating
3817,obscure,obscures,obscured,obscured,obscuring
3818,observe,observes,observed,observed,observing
3819,obsess,obsesses,obsessed,obsessed,obsessing
3820,obstruct,obstructs,obstructed,obstructed,obstructing
3821,obtain,obtains,obtained,obtained,obtaining
3822,obtrude,obtrudes,obtruded,obtruded,obtruding
3823,obviate,obviates,obviated,obviated,obviating
3824,occasion,occasions,occasioned,occasioned,occasioning
3825,occlude,occludes,occluded,occluded,occluding
3826,occupy,occupies,occupied,occupied,occupying
3827,occur,occurs,occurred,occurred,occurring
3828,od,od's,od'd,od'd,od'ing
3829,OD,Ods,ODed,ODed,ODing
3830,off,offs,offed,offed,offing
3831,offend,offends,offended,offended,offending
3832,offer,offers,offered,offered,offering
3833,officiate,officiates,officiated,officiated,officiating
3834,offload,offloads,offloaded,offloaded,offloading
3835,offset,offsets,offset,offset,offsetting
3836,offshore,offshores,offshored,offshored,offshoring
3837,ogle,ogles,ogled,ogled,ogling
3838,oil,oils,oiled,oiled,oiling
3839,ok,ok's,ok'd,ok'd,ok'ing
3840,omit,omits,omitted,omitted,omitting
3841,ooze,oozes,oozed,oozed,oozing
3842,open,opens,opened,opened,opening
3843,operate,operates,operated,operated,operating
3844,opine,opines,opined,opined,opining
3845,oppose,opposes,opposed,opposed,opposing
3846,oppress,oppresses,oppressed,oppressed,oppressing
3847,opt,opts,opted,opted,opting
3848,optimise,optimises,optimised,optimised,optimising
3849,optimize,optimizes,optimized,optimized,optimizing
3850,option,options,optioned,optioned,optioning
3851,orbit,orbits,orbited,orbited,orbiting
3852,orchestrate,orchestrates,orchestrated,orchestrated,orchestrating
3853,ordain,ordains,ordained,ordained,ordaining
3854,order,orders,ordered,ordered,ordering
3855,organise,organises,organised,organised,organising
3856,organize,organizes,organized,organized,organizing
3857,orient,orients,oriented,oriented,orienting
3858,orientate,orientates,orientated,orientated,orientating
3859,originate,originates,originated,originated,originating
